cs	popsize	wij	s	f	inithom	inithet	p	naa	ntrial	q	err
3	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
5	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
8	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
13	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
21	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	1	2	0.002000	72	100230000	7.183478e-07	1.659298e-07
34	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	1	2	0.002000	389	29120000	1.335852e-05	1.327506e-06
55	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	1	2	0.002000	410	4510000	9.090909e-05	8.799373e-06
89	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	1	2	0.002000	461	1480000	3.114865e-04	2.843002e-05
144	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	1	2	0.002000	533	830000	6.421687e-04	5.450070e-05
233	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	1	2	0.002000	654	610000	1.072131e-03	8.212628e-05
377	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	1	2	0.002000	706	520000	1.357692e-03	1.000829e-04
610	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	1	2	0.002000	771	460000	1.676087e-03	1.182119e-04
987	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	1	2	0.002000	729	470000	1.551064e-03	1.125084e-04
1	1000	(1.000000,0.990000,1.000000)	0.010000	0.500000	0	1	0.000500	10	100230000	9.977053e-08	6.183841e-08
2	1000	(1.000000,0.990000,1.000000)	0.010000	0.500000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
3	1000	(1.000000,0.990000,1.000000)	0.010000	0.500000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
5	1000	(1.000000,0.990000,1.000000)	0.010000	0.500000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
8	1000	(1.000000,0.990000,1.000000)	0.010000	0.500000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
